SORT_ROW,SORT_COLUMN,PIN_NUMBER,XC3S500E_PIN,XC3S500E_TYPE,XC3S1200E_PIN,XC3S1200E_TYPE,XC3S1600E_PIN,XC3S1600E_TYPE,BANK,DIFFERENCE
T,1,T1,IO_L24N_3,I/O,IO_L24N_3,I/O,IO_L24N_3,I/O,3,.
T,2,T2,IO_L24P_3,I/O,IO_L24P_3,I/O,IO_L24P_3,I/O,3,.
T,3,T3,IO_L01N_2/INIT_B,DUAL,IO_L01N_2/INIT_B,DUAL,IO_L01N_2/INIT_B,DUAL,2,.
T,4,T4,IO_L03N_2/MOSI/CSI_B,DUAL,IO_L03N_2/MOSI/CSI_B,DUAL,IO_L03N_2/MOSI/CSI_B,DUAL,2,.
T,5,T5,IO_L04N_2,I/O,IO_L04N_2,I/O,IO_L04N_2,I/O,2,.
T,6,T6,VCCO_2,VCCO,VCCO_2,VCCO,VCCO_2,VCCO,2,.
T,7,T7,IP_L08P_2,INPUT,IP_L08P_2,INPUT,IP_L08P_2,INPUT,2,.
T,8,T8,IO_L10N_2,I/O,IO_L10N_2,I/O,IO_L10N_2,I/O,2,.
T,9,T9,GND,GND,GND,GND,GND,GND,GND,.
T,10,T10,IP_L14N_2/M2/GCLK1,DUAL/GCLK,IP_L14N_2/M2/GCLK1,DUAL/GCLK,IP_L14N_2/M2/GCLK1,DUAL/GCLK,2,.
T,11,T11,IP_L17P_2,INPUT,IP_L17P_2,INPUT,IP_L17P_2,INPUT,2,.
T,12,T12,IO_L20P_2,I/O,IO_L20P_2,I/O,IO_L20P_2,I/O,2,.
T,13,T13,VCCO_2,VCCO,VCCO_2,VCCO,VCCO_2,VCCO,2,.
T,14,T14,IO_L24P_2/A21,DUAL,IO_L24P_2/A21,DUAL,IO_L24P_2/A21,DUAL,2,.
T,15,T15,IO/VREF_2,VREF,IO/VREF_2,VREF,IO/VREF_2,VREF,2,.
T,16,T16,IO_L26P_2/VS0/A17,DUAL,IO_L26P_2/VS0/A17,DUAL,IO_L26P_2/VS0/A17,DUAL,2,.
T,17,T17,IO_L01N_1/A15,DUAL,IO_L01N_1/A15,DUAL,IO_L01N_1/A15,DUAL,1,.
T,18,T18,IO_L02N_1/A13,DUAL,IO_L02N_1/A13,DUAL,IO_L02N_1/A13,DUAL,1,.
U,1,U1,IP,INPUT,IP,INPUT,IP,INPUT,3,.
U,2,U2,GND,GND,GND,GND,GND,GND,GND,.
U,3,U3,IO_L01P_2/CSO_B,DUAL,IO_L01P_2/CSO_B,DUAL,IO_L01P_2/CSO_B,DUAL,2,.
U,4,U4,IO_L03P_2/DOUT/BUSY,DUAL,IO_L03P_2/DOUT/BUSY,DUAL,IO_L03P_2/DOUT/BUSY,DUAL,2,.
U,5,U5,IO/VREF_2,VREF,IO/VREF_2,VREF,IO/VREF_2,VREF,2,.
U,6,U6,IP,INPUT,IO,I/O,IO,I/O,2,DIFF
U,7,U7,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,.
U,8,U8,IP_L11P_2,INPUT,IP_L11P_2,INPUT,IP_L11P_2,INPUT,2,.
U,9,U9,IO_L13P_2/D4/GCLK14,DUAL/GCLK,IO_L13P_2/D4/GCLK14,DUAL/GCLK,IO_L13P_2/D4/GCLK14,DUAL/GCLK,2,.
U,10,U10,IP_L14P_2/RDWR_B/GCLK0,DUAL/GCLK,IP_L14P_2/RDWR_B/GCLK0,DUAL/GCLK,IP_L14P_2/RDWR_B/GCLK0,DUAL/GCLK,2,.
U,11,U11,IP_L17N_2,INPUT,IP_L17N_2,INPUT,IP_L17N_2,INPUT,2,.
U,12,U12,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,.
U,13,U13,IP,INPUT,IO,I/O,IO,I/O,2,DIFF
U,14,U14,IP_L23N_2,INPUT,IP_L23N_2,INPUT,IP_L23N_2,INPUT,2,.
U,15,U15,IO_L25N_2/VS1/A18,DUAL,IO_L25N_2/VS1/A18,DUAL,IO_L25N_2/VS1/A18,DUAL,2,.
U,16,U16,IO_L26N_2/CCLK,DUAL,IO_L26N_2/CCLK,DUAL,IO_L26N_2/CCLK,DUAL,2,.
U,17,U17,GND,GND,GND,GND,GND,GND,GND,.
U,18,U18,IO_L01P_1/A16,DUAL,IO_L01P_1/A16,DUAL,IO_L01P_1/A16,DUAL,1,.
V,1,V1,GND,GND,GND,GND,GND,GND,GND,.
V,2,V2,IP,INPUT,IP,INPUT,IP,INPUT,2,.
V,3,V3,IP_L02N_2,INPUT,IP_L02N_2,INPUT,IP_L02N_2,INPUT,2,.
V,4,V4,IP_L02P_2,INPUT,IP_L02P_2,INPUT,IP_L02P_2,INPUT,2,.
V,5,V5,N.C.,N.C.,IO_L06P_2,I/O,IO_L06P_2,I/O,2,DIFF
V,6,V6,N.C.,N.C.,IO_L06N_2/VREF_2,VREF,IO_L06N_2/VREF_2,VREF,2,DIFF
V,7,V7,N.C.,N.C.,IO,I/O,IO,I/O,2,DIFF
V,8,V8,IP_L11N_2/VREF_2,VREF,IP_L11N_2/VREF_2,VREF,IP_L11N_2/VREF_2,VREF,2,.
V,9,V9,IO_L13N_2/D3/GCLK15,DUAL/GCLK,IO_L13N_2/D3/GCLK15,DUAL/GCLK,IO_L13N_2/D3/GCLK15,DUAL/GCLK,2,.
V,10,V10,VCCO_2,VCCO,VCCO_2,VCCO,VCCO_2,VCCO,2,.
V,11,V11,IO/M1,DUAL,IO/M1,DUAL,IO/M1,DUAL,2,.
V,12,V12,IO_L19P_2,I/O,IO_L19P_2,I/O,IO_L19P_2,I/O,2,.
V,13,V13,IO_L19N_2/VREF_2,VREF,IO_L19N_2/VREF_2,VREF,IO_L19N_2/VREF_2,VREF,2,.
V,14,V14,IP_L23P_2,INPUT,IP_L23P_2,INPUT,IP_L23P_2,INPUT,2,.
V,15,V15,IO_L25P_2/VS2/A19,DUAL,IO_L25P_2/VS2/A19,DUAL,IO_L25P_2/VS2/A19,DUAL,2,.
V,16,V16,IP,INPUT,IP,INPUT,IP,INPUT,2,.
V,17,V17,DONE,CONFIG,DONE,CONFIG,DONE,CONFIG,VCCAUX,.
V,18,V18,GND,GND,GND,GND,GND,GND,GND,.
